Date,Open,High,Low,Close,Volume
2018-04-04,6073.48,6085.44,5538.81,5578.58,4017580986
2018-04-05,5574.35,5653.34,5411.52,5561.29,4604278302
2018-04-06,5564.96,5602.52,5371.29,5403.73,3067185174
2018-04-07,5399.0,5741.01,5399.0,5627.46,3238018116
2018-04-08,5634.7,5790.7,5634.7,5724.14,2976772590
2018-04-09,5741.09,5844.89,5407.9,5496.61,3973096308
2018-04-10,5516.67,5562.9,5439.47,5529.29,3456637877
2018-04-11,5536.34,5633.24,5511.84,5633.24,3752538231
2018-04-12,5622.78,6407.03,5516.7,6398.94,7223822078
2018-04-13,6408.54,6644.98,6295.79,6404.38,6297720847
2018-04-14,6387.11,6602.9,6363.86,6477.61,4210747136
2018-04-15,6488.22,6763.26,6488.22,6754.61,4253085719
2018-04-16,6761.47,6784.85,6397.91,6507.85,4547613522
2018-04-17,6518.34,6709.82,6372.16,6387.59,5578271661
2018-04-18,6421.82,6622.88,6377.17,6595.64,5275842094
2018-04-19,6592.28,6723.94,6577.85,6720.94,5723369244
2018-04-20,6714.92,7227.93,6681.69,7199.93,6868069517
2018-04-21,7202.34,7323.43,7042.28,7240.42,6144025838
2018-04-22,7264.41,7326.75,7151.85,7172.8,5402460704
2018-04-23,7166.22,7322.07,7163.43,7315.6,5672665583
2018-04-24,7318.43,7953.43,7313.7,7925.38,8727362197
2018-04-25,7928.27,7972.28,7230.76,7269.08,9107650719
2018-04-26,7286.81,7665.6,7170.4,7665.6,7408787156
2018-04-27,7673.13,7756.01,7410.17,7410.17,6238695515
2018-04-28,7370.77,7760.63,7364.77,7708.18,6435916834
2018-04-29,7706.47,7859.08,7580.57,7769.6,7302648018
2018-04-30,7775.39,7816.84,7571.5,7650.1,7180991804
2018-05-01,7659.14,7664.69,7391.96,7605.51,6432877318
2018-05-02,7593.49,7742.8,7515.75,7728.8,6324819977
2018-05-03,7727.17,8175.49,7667.65,8128.01,8514597584
2018-05-04,8087.67,8175.22,8001.64,8112.36,6872244429
2018-05-05,8111.96,8332.92,8107.64,8243.98,6399013079
2018-05-06,8233.24,8312.54,7915.41,8077.3,6042232236
2018-05-07,8069.66,8081.81,7743.27,7854.7,6196279092
2018-05-08,7861.28,7935.89,7689.78,7781.93,6249153073
2018-05-09,7772.59,7907.19,7619.69,7872.01,6100700861
2018-05-10,7872.67,7881.92,7588.15,7592.29,5798102565
2018-05-11,7599.87,7599.23,7029.36,7068.74,7108122753
2018-05-12,7068.7,7255.79,6886.2,7121.83,5712091857
2018-05-13,7130.71,7346.19,7029.91,7299.15,4908282945
2018-05-14,7290.08,7446.23,6999.56,7306.61,6172799464
2018-05-15,7296.89,7412.91,7157.38,7201.2,5674149670
2018-05-16,7196.15,7192.86,6911.4,7085.02,5723179953
2018-05-17,7086.06,7140.9,6830.16,6865.99,4972881540
2018-05-18,6863.88,7028.05,6755.46,7007.19,4895278308
2018-05-19,7011.24,7110.03,6949.77,7003.97,4002038108
2018-05-20,7003.81,7276.63,6968.36,7236.08,4412290666
2018-05-21,7243.8,7301.01,7110.17,7142.61,4373453873
2018-05-22,7143.35,7143.8,6793.91,6824.32,4359309382
2018-05-23,6820.33,6835.83,6429.08,6454.71,5543701536
2018-05-24,6457.53,6612.49,6248.31,6473.29,5161010235
2018-05-25,6477.52,6544.6,6318.5,6420.72,4178394644
2018-05-26,6426.16,6519.45,6308.26,6314.06,3477716711
2018-05-27,6319.38,6336.26,6241.17,6304.09,3470670719
2018-05-28,6306.73,6332.95,6109.87,6139.01,4336373076
2018-05-29,6133.4,6524.85,6102.13,6477.63,4908685936
2018-05-30,6475.15,6564.77,6275.08,6350.99,4221008431
2018-05-31,6350.67,6516.7,6316.94,6411.3,4386286348
2018-06-01,6416.89,6505.89,6344.07,6467.8,4220806367
2018-06-02,6463.74,6600.2,6429.9,6555.27,4236106209
2018-06-03,6545.53,6650.85,6529.19,6617.74,4158889189
2018-06-04,6619.69,6639.68,6391.89,6423.72,4268396239
2018-06-05,6412.12,6523.2,6330.34,6510.11,4231400116
2018-06-06,6503.47,6523.77,6378.18,6497.99,3983580813
2018-06-07,6495.31,6563.18,6492.55,6511.95,3804427051
2018-06-08,6517.8,6521.68,6433.23,6480.47,3593047683
2018-06-09,6486.93,6530.32,6401.48,6401.48,3268077593
2018-06-10,6373.92,6373.92,5698.21,5759.16,4926453311
2018-06-11,5770.42,5868.52,5679.73,5867.74,4031322538
2018-06-12,5866.81,5875.11,5566.31,5603.44,3962186117
2018-06-13,5615.8,5646.85,5334.04,5380.36,4280926921
2018-06-14,5374.3,5796.01,5370.46,5773.53,4444481937
2018-06-15,5772.43,5778.98,5543.09,5562.66,3407762516
2018-06-16,5561.69,5679.75,5515.89,5643.28,2751934274
2018-06-17,5639.29,5676.84,5607.17,5607.17,2677957008
2018-06-18,5616.49,5841.78,5549.83,5791.4,3473385502
2018-06-19,5797.91,5900.29,5764.54,5842.7,3501363500
2018-06-20,5843.41,5887.25,5709.74,5853.46,3358935821
2018-06-21,5856.52,5889.27,5795.93,5800.0,3041566822
2018-06-22,5807.02,5811.44,5153.67,5219.81,4358481380
2018-06-23,5225.31,5340.9,5209.62,5287.41,2944109824
2018-06-24,5288.96,5340.01,4999.06,5294.82,3917068318
2018-06-25,5293.74,5409.86,5237.21,5341.64,4701949090
2018-06-26,5345.37,5369.32,5231.52,5231.52,2815727912
2018-06-27,5223.56,5347.41,5221.58,5325.32,2850908064
2018-06-28,5321.88,5338.65,5078.3,5105.46,2999048745
2018-06-29,5100.86,5359.63,5010.95,5322.52,3394872906
