Date,Open,High,Low,Close,Volume
"Jul 6, 2025",91887.41,93128.13,91561.26,92723.50,31192484153
"Jul 5, 2025",91704.59,92014.89,91585.85,91887.41,25992346430
"Jul 4, 2025",93151.49,93300.16,91106.32,91720.29,36181018883
"Jul 3, 2025",92254.09,93887.51,92034.94,93161.97,42902655791
"Jul 2, 2025",89538.98,93074.20,89052.75,92266.23,47674843584
"Jul 1, 2025",90905.05,91172.54,89280.73,89534.90,37365285188
"Jun 30, 2025",92422.90,92735.95,90847.23,90897.37,35689252482
"Jun 29, 2025",91572.10,92594.65,91488.73,92424.71,30302008828
"Jun 28, 2025",91369.66,91776.91,91193.41,91572.00,25628172751
"Jun 27, 2025",91464.32,91984.88,90827.71,91367.85,38695770590
"Jun 26, 2025",91900.71,92580.34,91109.59,91468.66,37534981936
"Jun 25, 2025",91322.51,93144.13,91114.11,91888.89,44184310189
"Jun 24, 2025",91025.34,91467.23,90362.97,91320.98,42043817111
"Jun 23, 2025",87815.48,91477.62,86474.09,91030.74,56248974942
"Jun 22, 2025",88691.12,89671.05,85715.80,87815.19,56988875582
"Jun 21, 2025",89643.99,90256.26,87603.41,88730.49,33286105805
"Jun 20, 2025",90934.32,92499.63,88729.88,89639.24,44209697526
"Jun 19, 2025",91396.34,91791.83,90706.20,90937.15,32431131395
"Jun 18, 2025",91101.71,91780.30,90283.77,91393.34,41232083827
"Jun 17, 2025",92429.99,93214.70,89889.84,91100.88,48741142583
"Jun 16, 2025",91394.05,94151.68,90978.55,92432.27,43592164521
"Jun 15, 2025",91315.47,91914.85,90497.28,91390.95,31814617927
"Jun 14, 2025",91872.41,91955.25,90375.62,91322.02,32908658537
"Jun 13, 2025",91248.00,91936.88,89014.47,91857.59,60219414601
"Jun 12, 2025",94424.91,94530.86,91280.14,91251.84,47244866154
"Jun 11, 2025",96402.66,96211.00,94032.30,94425.53,44171443836
"Jun 10, 2025",96527.59,96576.87,94918.52,96398.67,47824681650
"Jun 9, 2025",92746.73,96808.69,92341.35,96526.20,48924853962
